Drug1_CID,Drug2_CID,HSA_values,Bliss_values,Loewe_values,ZIP_values,HSA,Bliss,Loewe,ZIP,in_pharmacome
150311,3883,"[-13.26, -13.26]","[-24.51, -24.51]","[-13.26, -13.26]","[-24.51, -24.51]",-13.26,-24.51,-13.26,-24.51,yes
150311,38853,"[23.28, 23.28]","[8.77, 8.77]","[23.28, 23.28]","[8.77, 8.77]",23.28,8.77,23.28,8.77,yes
150311,3899,"[11.73, 11.73]","[10.34, 10.34]","[11.73, 11.73]","[10.34, 10.34]",11.73,10.34,11.73,10.34,yes
150311,3955,"[-10.05, -10.05]","[-23.87, -23.87]","[-10.05, -10.05]","[-23.87, -23.87]",-10.05,-23.87,-10.05,-23.87,yes
150311,4011,"[4.3, 4.3]","[-2.97, -2.97]","[4.3, 4.3]","[-2.97, -2.97]",4.3,-2.97,4.3,-2.97,yes
150311,4030,"[0.08, 0.08]","[-14.27, -14.27]","[0.07, 0.07]","[-14.27, -14.27]",0.08,-14.27,0.07,-14.27,yes
150311,4032,"[-10.99, -10.99]","[-24.7, -24.7]","[-10.99, -10.99]","[-24.7, -24.7]",-10.99,-24.7,-10.99,-24.7,yes
150311,4037,"[-18.7, -18.7]","[-28.2, -28.2]","[-18.7, -18.7]","[-28.2, -28.2]",-18.7,-28.2,-18.7,-28.2,yes
150311,4054,"[5.61, 5.61]","[-8.94, -8.94]","[5.61, 5.61]","[-8.94, -8.94]",5.61,-8.94,5.61,-8.94,yes
150311,4060,"[-7.69, -7.69]","[-21.84, -21.84]","[-7.69, -7.69]","[-21.84, -21.84]",-7.69,-21.84,-7.69,-21.84,yes
150311,4075,"[0.69, 0.69]","[-13.19, -13.19]","[0.69, 0.69]","[-13.19, -13.19]",0.69,-13.19,0.69,-13.19,yes
150311,4091,"[-4.86, -4.86]","[-18.8, -18.8]","[-4.86, -4.86]","[-18.8, -18.8]",-4.86,-18.8,-4.86,-18.8,yes
150311,4121,"[-10.63, -10.63]","[-24.84, -24.84]","[-10.63, -10.63]","[-24.84, -24.84]",-10.63,-24.84,-10.63,-24.84,yes
150311,41774,"[-7.15, -7.15]","[-21.05, -21.05]","[-7.15, -7.15]","[-21.05, -21.05]",-7.15,-21.05,-7.15,-21.05,yes
150311,4197,"[-7.26, -7.26]","[-20.79, -20.79]","[-7.26, -7.26]","[-20.79, -20.79]",-7.26,-20.79,-7.26,-20.79,yes
150311,4201,"[13.55, 13.55]","[-0.84, -0.84]","[13.54, 13.54]","[-0.84, -0.84]",13.55,-0.84,13.54,-0.84,yes
150311,4211,"[-44.74, -44.74]","[-49.07, -49.07]","[-44.74, -44.74]","[-49.07, -49.07]",-44.74,-49.07,-44.74,-49.07,yes
150311,4212,"[3.76, 3.76]","[3.4, 3.4]","[3.75, 3.75]","[3.4, 3.4]",3.76,3.4,3.75,3.4,yes
150311,4369359,"[-3.7, -3.7]","[-17.19, -17.19]","[-3.7, -3.7]","[-17.19, -17.19]",-3.7,-17.19,-3.7,-17.19,yes
150311,439693,"[-11.18, -11.18]","[-25.73, -25.73]","[-11.18, -11.18]","[-25.73, -25.73]",-11.18,-25.73,-11.18,-25.73,yes
150311,441207,"[4.98, 4.98]","[4.35, 4.35]","[4.92, 4.92]","[4.35, 4.35]",4.98,4.35,4.92,4.35,yes
150311,441314,"[-4.91, -4.91]","[-19.6, -19.6]","[-4.91, -4.91]","[-19.6, -19.6]",-4.91,-19.6,-4.91,-19.6,yes
150311,445643,"[-9.9, -9.9]","[-21.9, -21.9]","[-9.9, -9.9]","[-21.9, -21.9]",-9.9,-21.9,-9.9,-21.9,yes
150311,446156,"[2.84, 2.84]","[2.43, 2.43]","[2.79, 2.79]","[2.43, 2.43]",2.84,2.43,2.79,2.43,yes
150311,446541,"[3.78, 3.78]","[2.99, 2.99]","[3.78, 3.78]","[2.99, 2.99]",3.78,2.99,3.78,2.99,yes
150311,4499,"[-7.97, -7.97]","[-22.66, -22.66]","[-7.99, -7.99]","[-22.66, -22.66]",-7.97,-22.66,-7.99,-22.66,yes
150311,4649,"[12.72, 12.72]","[-0.01, -0.01]","[12.72, 12.72]","[-0.01, -0.01]",12.72,-0.01,12.72,-0.01,yes
150311,4674,"[-0.74, -0.74]","[-11.82, -11.82]","[-0.75, -0.75]","[-11.82, -11.82]",-0.74,-11.82,-0.75,-11.82,yes
150311,4688,"[-10.7, -10.7]","[-24.37, -24.37]","[-10.7, -10.7]","[-24.37, -24.37]",-10.7,-24.37,-10.7,-24.37,yes
